quote,season,episode,episode_title,context,source_url,source_name
What if I were to tell you that all the things you come to believe about yourself are a lie?,1,2,The Freelancer,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
You lost her. I can’t find her. It’s that simple.,1,4,The Stewmaker,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
Let me put your mind at ease.,1,5,The Courier,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
I Can Only Lead You To The Truth.,1,6,Gina Zanetakos,Bulk Ingest,Manual Input,ManualIngest
I can only led you to the truth. I can’t make you believe it.,1,6,Gina Zanetakos,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"A man who's willing to burn the world down to protect the one person they care about, that's a man I understand.",1,7,Frederick Barnes,,https://multiple-sources,WebResearch
"Agent Keen, I have a tip. You're a winter, not an autumn. Stop wearing olive.",1,7,Frederick Barnes,,https://multiple-sources,WebResearch
Every cause has more than one effect.,1,7,Frederick Barnes,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"I’m not a gumball machine, Lizzy. You don’t get to just twist the handle whenever you want a treat.",1,7,Frederick Barnes,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"You know the problem with drawling lines in the sand? With a breath of air, they disappear.",1,7,Frederick Barnes,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
I have no interest in cases that I have no interest in.,1,8,General Ludd,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
You can’t judge a book by its cover. But you can by it’s first few chapters and certainly by its last.,1,9,Anslo Garrick (1),,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
You talk too much.,1,13,The Cyprus Agency,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"Once you cross over, there are things in the darkness that can keep your heart from feeling the light again.",1,16,Mako Tanida,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"There is nothing that can take the pain away. But eventually, you will find a way to live with it.",1,16,Mako Tanida,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"There is nothing that can take the pain away. But eventually, you will find a way to live with it. There will be nightmares, and every day, when you wake up, it will be the first thing you think about. Until one day, it will be the second thing.",1,16,Mako Tanida,,https://multiple-sources,WebResearch
"As bad as you think I am, as far as you think I'm willing to go to protect that which I hold dear, you can't possibly fathom how deep that well of mine truly goes.",1,20,The Kingmaker,,https://multiple-sources,WebResearch
"As bad as you think I am, as far as you think I’m willing to go to protect that which I hold dear...",1,20,The Kingmaker,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
I was a lifeguard my junior year in high school. Had to give mouth-to-mouth to Mrs. Beerman. She belched up a lung full of corned beef and chlorine. I haven't been in a pool since.,1,20,The Kingmaker,,https://multiple-sources,WebResearch
Never underestimate the power of glitter.,1,20,The Kingmaker,,https://multiple-sources,WebResearch
You Can't Possibly Fathom How Deep That Well Of Mine Truly Goes.,1,20,The Kingmaker,Bulk Ingest,Manual Input,ManualIngest
Please excuse the gun. I'd hate for them to think we were in cahoots.,1,21,Berlin,,https://multiple-sources,WebResearch
What are they gonna do to me that hasn't been done before? Kill me? None of it is worse than losing you.,1,21,Berlin,,https://multiple-sources,WebResearch
Life is far too important a thing ever to talk seriously about.,2,1,Lord Baltimore,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"God can’t protect you, but I can.",2,2,Monarch Douglas Bank,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
Revenge Isn't A Passion; It's A Disease... Make sure your passion isn't your sickness.,2,2,Monarch Douglas Bank,Bulk Ingest,Manual Input,ManualIngest
"Revenge isn’t a passion, it’s a disease that eats at your mind and poisons your soul.",2,2,Monarch Douglas Bank,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
That's The Sound Of Your Checks Bouncing.,2,2,Monarch Douglas Bank,Bulk Ingest,Manual Input,ManualIngest
Value loyalty above all else.,2,3,Dr. James Covington,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"As a rule, I consider jealousy to be a base emotion, but in this case, It’s quite endearing.",2,5,The Front,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
That is what separates men like him from men like you...and me.,2,6,The Mombasa Cartel,Bulk Ingest,Manual Input,ManualIngest
"You see that Geoff, that is what a good man does. That is what separates men like him from men like you... and me.",2,6,The Mombasa Cartel,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"When you love someone, you have no control. That’s what love is. Being powerless.",2,8,The Decembrist,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"You will make a mistake and when you do, I will be there to indulge the undeniable pleasure and the sweet satisfaction of 'I told you so.",2,9,Luther Braxton,,https://multiple-sources,WebResearch
In This World There Are No Sides.,2,11,Ruslan Denisov,Bulk Ingest,Manual Input,ManualIngest
"In this world, there are no sides. Only players.",2,11,Ruslan Denisov,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
It’s a good to meet you. I’ve heard nothing but terrible things.,2,11,Ruslan Denisov,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
I always found fear to be my most valuable sense.,2,14,T. Earl King VI,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"Really, I’m all for being thorough, but at this point, you are just taking the nickel tour.",2,14,T. Earl King VI,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
You have to make your choices; you have to be happy with them.,3,2,Marvin Gerard,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"Is it just me or is the human race armed with religion, poisoned by prejudice, and absolutely frantic with hatred and fear, galloping pell-mell back to the Dark Ages? Who on Earth is hurt by a little girl going to school or a child being gay?",3,4,The Djinn,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"Dead? Pishposh. What’s death? It’s just a process, right?",3,6,Sir Crispin Crandall,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"The future is a sucker’s bet, a maybe, a contingency, a “What if?",3,6,Sir Crispin Crandall,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"The only thing that is real is the present, and you’ve plundered it, robbed it of the very geniuses that might have averted the dystopia you so fear.",3,6,Sir Crispin Crandall,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"You see, if you were a betting man, you would understand that now trumps later every time.",3,6,Sir Crispin Crandall,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"See, This is why I don’t go to family reunions.",3,8,Kings of the Highway,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
The promnestria will require a meeting of all family members to formalize the arrangement.,3,13,,Mined from transcript,Transcript S03E13,TranscriptMining
People say youth is wasted on the young. I disagree. I believe wisdom is wasted on the old.,3,15,Drexel,,https://multiple-sources,WebResearch
Luftreiber Air? What secret of theirs is he keeping? A copy of a contract between an airline and the German government.,3,16,,Mined from transcript,Transcript S03E16,TranscriptMining
"I'm afraid your wedding plans will have to wait, Lizzy.",3,18,,Mined from transcript,Transcript S03E18,TranscriptMining
I don’t know if I should be thrilled or terrified.,3,22,Alexander Kirk,,https://thehabitstacker.com/raymond-reddington-quotes/,HabitStacker
"If you have the spare time, I would think you'd be spending it trying to learn about your parents.",3,23,,Mined from transcript,Transcript S03E23,TranscriptMining
"Ah. So you are a gambling man. Let's place that bet, shall we? [Shoots him in the chest]",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"Are you a gambling man, Crispin?",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"But first, please indulge my curiosity. An ice castle in the air, the best and the brightest frozen solid. I'm intrigued.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"Congratulations, Crispin. You've doubled down on extinction.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"Everyone dies, Mr. Crandall.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"Indeed, perhaps even the very one who might have devised a means to revive your sad, tired, frozen ass.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
It won't work.,3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"Oh, yes. Well, I would agree with you there. But perhaps you're familiar with the old saw ""You can't beat the house""? No matter how many poor souls you turn into popsicles, the fix is in.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
That's how you made your fortune.,3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"The world in which you awaken will be one incapable of sustaining human life. And why? Because at the critical tipping point, one tragically quixotic megalomaniac cannibalized humanity of the very minds that might have been its salvation.",3,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
"As you well know, one of the keys to my success is a clear and consistent understanding of my own limitations.",4,1,Esteban,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
Wisdom is learning the boundaries of one's designated lane.,4,1,Esteban,Bulk Ingest,Manual Input,ManualIngest
"I know where Elizabeth is, Harold, where Kirk is taking Agnes.",4,2,,Mined from transcript,Transcript S04E02,TranscriptMining
"This'll be quick, as I have no time and less patience.",4,2,,Mined from transcript,Transcript S04E02,TranscriptMining
We have two targets-- Elizabeth Keen and Agnes Keen-- traveling separate paths to an unknown location.,4,2,,Mined from transcript,Transcript S04E02,TranscriptMining
"What did you do, Harold? I asked New Scotland Yard to keep eyes on McGrath.",4,3,,Mined from transcript,Transcript S04E03,TranscriptMining
"During World War II, the Oeuvre de Secours aux Enfants smuggled Jewish children out of France to Switzerland.",4,5,,Mined from transcript,Transcript S04E05,TranscriptMining
"Maintenance tunnels here, here, and here give us access to the rendezvous point.",4,6,,Mined from transcript,Transcript S04E06,TranscriptMining
"When I turned myself in, I never imagined things could've turned out this badly.",4,6,,Mined from transcript,Transcript S04E06,TranscriptMining
"so Rory says, ""In Boston, a shot of whiskey and a pint of stout is an Irish Car Bomb.",4,7,,Mined from transcript,Transcript S04E07,TranscriptMining
"You've told me you've always wanted a pristine, unspoiled place to live out your days in peace.",4,8,,Mined from transcript,Transcript S04E08,TranscriptMining
"I had bullets. He had words. But when he was done talking for the first time, I truly understood which of those was more powerful.",4,10,The Forecaster,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
There's a man I know who works as a docent in a small museum - in the Northwest.,4,14,,Mined from transcript,Transcript S04E14,TranscriptMining
"The Apothecary can create embolisms, - aneurysms - [ Bites .]",4,15,,Mined from transcript,Transcript S04E15,TranscriptMining
"Tell me, how's Tom? Liz: He's having a hard time, actually.",4,18,,Mined from transcript,Transcript S04E18,TranscriptMining
"Donald, I want you to know that I do understand how you feel.",4,21,,Mined from transcript,Transcript S04E21,TranscriptMining
Let's give Prescott a call so you can hear for yourself.,4,22,,Mined from transcript,Transcript S04E22,TranscriptMining
"Once Kaplan testifies, an indictment is inevitable.",4,22,,Mined from transcript,Transcript S04E22,TranscriptMining
Who was relying on the grand jury to separate us.,4,22,,Mined from transcript,Transcript S04E22,TranscriptMining
"Losing someone we love is painful, agonising even on the death. The Japanese call it takotsubo, a grieving surge of abnormal electrical waves that causes the hearth to deflate and contort until it resembles a fishing port,hollow and cold, an empty vesell at the bottom of an unfathomable sea.",4,,,Wikiquote dialogue,https://en.wikiquote.org/wiki/The_Blacklist,Wikiquote
You weren't willing to shoot an unarmed man in the back.,5,1,,Mined from transcript,Transcript S05E01,TranscriptMining
Please tell Paolo he's hosting a party tomorrow afternoon.,5,2,,Mined from transcript,Transcript S05E02,TranscriptMining
What am I thinking? This is neither the time nor the place to talk business.,5,2,,Mined from transcript,Transcript S05E02,TranscriptMining
A million reasons for you to have faith in my financial fortitude.,5,3,,Mined from transcript,Transcript S05E03,TranscriptMining
"I think this is the first time you've made it a priority to see me, and I appreciate that.",5,3,,Mined from transcript,Transcript S05E03,TranscriptMining
"Smokey, you were born a century too late.",5,3,,Mined from transcript,Transcript S05E03,TranscriptMining
"In horse breeding, genes are everything, and Fitzpleasure had the best ones.",5,4,,Mined from transcript,Transcript S05E04,TranscriptMining
Do you have a count? The mailman gave us two lists.,5,5,,Mined from transcript,Transcript S05E05,TranscriptMining
"Elizabeth, whomever has filled the vacuum left by my downfall has to be stopped, or more innocent people will die.",5,7,,Mined from transcript,Transcript S05E07,TranscriptMining
The world can be such an unsparingly savage place one can be forgiven for believing that evil will triumph in the end.,5,7,The Kilgannon Corporation,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
You've always seen my relationship with Elizabeth as a zero-sum game.,5,8,,Mined from transcript,Transcript S05E08,TranscriptMining
And who might you be? I'm not helping you.,5,10,,Mined from transcript,Transcript S05E10,TranscriptMining
"Samar, any news? We caught the Blacklister.",5,12,,Mined from transcript,Transcript S05E12,TranscriptMining
What makes her happy? Does she like a good foot massage? We should have stayed.,5,12,,Mined from transcript,Transcript S05E12,TranscriptMining
"With the evidence you obtained from his place of business, you can file charges against 27 clients who never went to trial.",5,14,,Mined from transcript,Transcript S05E14,TranscriptMining
"As Old Man Quimby, my fencing instructor used to say ""If ifs and buts were candy and nuts, oh, what a Christmas we'd have.",5,15,,Mined from transcript,Transcript S05E15,TranscriptMining
It appears we're going to need that chinchilla after all.,5,15,,Mined from transcript,Transcript S05E15,TranscriptMining
"Either Mosadek lost your tail and has no intention of being found, or he was taken by the very same people who abducted his son.",5,18,,Mined from transcript,Transcript S05E18,TranscriptMining
"After more than two decades on your Most Wanted List, I've become something of an FBI buff.",5,19,,Mined from transcript,Transcript S05E19,TranscriptMining
I promise Ian Garvey will not get away from me.,5,19,,Mined from transcript,Transcript S05E19,TranscriptMining
"Then came a plaster mold of your face, a willing double, a little makeup, a little make-believe, and, voilÃ , two Garveys with one stone.",5,19,,Mined from transcript,Transcript S05E19,TranscriptMining
"While you were plotting with your minions from the Nash Syndicate, I was hatching a plan with my men to meet with you.",5,19,,Mined from transcript,Transcript S05E19,TranscriptMining
"Harold, understand, Bernice is a seasoned professional.",5,21,,Mined from transcript,Transcript S05E21,TranscriptMining
There's a fine line between fishing and standing on the shore looking like an idiot.,5,22,Sutton Ross,,https://multiple-sources,WebResearch
"Through five marriages, numerous lovers, allegedly both male and female, and over 70 films, including ""North by Northwest,"" arguably the greatest work ever produced here, he just kept right on tripping, and why not? Before LSD was weighed down by the counter-cultural baggage of Timothy Leary turning on, tuning in, and dropping out LSD was used to treat addiction, anxiety, and depression.",6,2,,Mined from transcript,Transcript S06E02,TranscriptMining
